FA,AR,CH,WA,RO,WI,WWRN,WWRS,SH,OR,CL
200,0.5,3.5,2.5,2.67,2.66,70,70,0.0,270,155.7984169
200,0.25,2.5,2.5,0.29,1.76,10,10,0.5,0,73.10902225
150,0.33,3.5,0.29,0.43,1.76,70,10,2.0,90,82.1886629
250,0.25,4.0,2.5,1.72,5.77,90,70,0.0,0,157.8395536
250,0.66,3.5,2.5,0.29,1.76,70,10,0.0,90,143.9629062
200,0.25,3.0,2.5,0.2,2.66,30,10,3.0,180,78.71665221
200,0.66,2.5,1.57,0.29,1.76,10,30,2.0,0,82.58232572
150,0.25,4.0,1.57,1.72,2.66,30,10,0.0,90,94.99383595
200,0.66,4.0,2.65,0.2,5.77,70,90,0.0,270,258.353512
200,1.0,2.5,0.34,2.74,1.76,30,30,2.0,0,80.0381179
250,0.5,2.5,0.86,2.74,2.66,10,10,0.5,90,78.07028472
250,0.25,3.5,1.77,2.67,1.76,10,10,2.0,90,82.30082351
200,0.25,4.0,1.57,1.72,2.66,70,70,0.0,180,126.7951877
150,1.0,2.5,0.34,0.43,2.66,30,10,2.0,0,73.98222336
150,0.66,2.5,2.5,0.43,2.66,10,50,0.0,0,103.5820737
250,0.33,2.5,1.57,0.29,1.76,30,30,2.0,0,76.28210729
250,0.5,2.5,0.34,2.67,1.76,10,70,1.0,0,83.13304425
250,0.33,3.5,1.77,1.72,1.76,70,50,0.0,0,110.828314
200,0.66,2.5,1.57,2.74,2.66,30,10,1.0,0,89.01312087
150,0.33,2.5,2.65,2.74,1.76,10,30,3.0,0,76.99361705
250,0.5,2.5,0.34,0.29,1.76,10,10,3.0,90,67.70151059
150,1.0,2.5,1.57,1.72,2.66,30,90,0.0,180,117.0038682
150,1.0,2.5,1.57,2.67,2.66,30,50,1.0,0,92.71669959
250,0.5,3.0,0.74,2.74,2.66,30,10,0.0,90,96.31812563
250,0.5,4.0,1.57,2.67,2.66,90,90,0.0,0,172.5142176
250,1.0,4.0,1.77,2.74,5.77,50,90,0.0,270,240.6483032
200,0.25,3.5,1.57,2.74,5.77,70,90,0.5,90,138.7103393
150,0.66,2.5,0.29,0.2,1.76,10,10,3.6,0,67.50094955
200,0.66,4.0,2.65,2.74,5.77,90,90,0.5,90,234.6358989
200,0.5,3.0,0.34,0.2,2.66,10,30,1.0,0,76.93422542
250,1.0,2.5,0.34,0.2,1.76,10,10,4.0,0,68.67377139
150,0.66,3.0,1.57,2.67,1.76,30,30,3.0,90,92.2730061
150,0.5,2.5,0.29,2.67,2.66,30,10,0.0,270,79.56365673
200,0.5,3.0,0.74,1.72,1.76,30,30,0.0,0,88.94054337
150,0.5,3.0,1.57,1.72,2.66,30,50,0.5,0,93.86471041
150,0.66,2.5,1.57,0.2,2.66,30,10,0.0,90,97.89045814
150,0.33,2.5,1.57,1.72,4.23,30,30,0.0,0,86.6777893
150,0.25,3.5,1.77,1.72,1.76,30,50,0.5,0,87.18222807
250,0.66,3.0,1.24,0.43,4.23,50,50,1.0,90,131.7209
250,0.66,2.5,2.65,1.72,1.76,30,10,2.0,90,94.54400706
150,0.5,3.0,1.57,2.74,4.23,10,10,0.0,90,87.32432291
200,0.5,3.0,1.24,0.49,4.23,50,50,2.2,90,99.64720887
200,0.5,3.0,2.5,2.67,5.77,50,30,0.5,45,109.0625
250,0.33,2.5,1.77,2.67,1.76,30,10,3.0,0,77.43481642
150,0.66,2.5,1.77,1.72,2.66,10,90,0.0,0,117.2697525
200,0.66,2.5,2.65,2.74,2.66,10,30,3.0,0,91.81640972
200,0.25,2.5,2.65,2.74,1.76,30,10,3.0,90,78.25122737
200,0.5,3.0,0.29,0.43,1.76,30,10,0.0,0,78.16684195
150,1.0,3.0,1.77,2.74,2.66,10,30,0.5,90,97.9361652
200,0.25,2.5,0.29,2.74,1.76,30,10,1.0,180,71.23890627
250,0.33,3.0,1.77,0.29,1.76,50,50,0.0,0,97.74423437
200,0.33,3.5,2.65,1.72,4.23,70,90,0.0,180,136.3344663
200,0.66,2.5,0.29,0.2,1.76,10,10,4.0,0,68.3674
150,0.25,2.5,1.77,1.72,4.23,10,10,0.0,0,76.22297495
200,0.66,3.0,2.5,1.72,1.76,10,30,0.0,90,114.3502058
250,0.25,4.0,1.57,0.2,4.23,50,70,0.0,0,127.2411811
200,0.66,2.5,1.77,2.74,1.76,10,10,3.0,180,83.41999791
200,0.25,3.0,1.57,1.72,2.66,90,10,0.0,0,100.0684586
150,0.25,2.5,1.77,0.29,1.76,10,10,4.0,90,70.47035039
200,0.25,2.5,0.29,1.72,1.76,30,30,3.0,90,73.24468865
250,0.33,3.0,1.57,0.2,1.76,10,30,0.0,90,87.7805222
200,0.5,4.0,2.65,2.67,5.77,50,90,0.5,270,169.6701513
150,0.33,3.0,1.77,2.67,2.66,10,10,0.5,180,78.3177129
250,0.25,3.0,1.57,2.74,1.76,10,10,4.0,0,76.74474927
150,1.0,3.0,2.5,0.29,1.76,10,10,4.0,0,82.63788997
250,0.33,3.0,1.77,2.67,2.66,70,50,0.0,0,115.5126714
250,0.66,3.5,1.57,2.74,4.23,70,50,0.0,270,200.997676
250,1.0,3.0,0.29,1.72,2.66,30,50,1.0,90,110.4368418
250,0.25,3.0,2.65,0.29,1.76,30,10,3.0,90,80.67621962
250,1.0,4.0,1.57,1.72,4.23,70,50,0.0,270,201.5791819
200,1.0,3.0,0.29,2.74,2.66,50,30,0.0,0,113.6488878
200,0.5,3.5,2.65,1.72,1.76,50,70,2.0,0,100.7817779
200,1.0,4.0,1.77,0.2,5.77,90,70,0.0,180,201.4713
200,0.25,2.5,2.65,2.74,5.77,90,90,0.0,270,135.4382
150,1.0,3.0,1.77,2.74,1.76,30,10,0.0,0,99.47251092
250,0.5,4.0,2.5,1.72,5.77,90,70,0.0,180,183.3056702
250,0.33,3.0,1.57,2.74,4.23,90,70,0.0,0,130.915908
150,1.0,2.5,1.57,1.72,2.66,10,30,0.0,0,91.17497044
200,0.33,3.5,1.77,1.72,5.77,70,70,0.0,180,139.7095718
200,0.66,3.5,2.65,2.67,5.77,50,70,0.0,0,184.860772
150,0.5,2.5,2.65,2.74,1.76,30,30,4.0,0,80.16112451
200,1.0,3.0,2.5,2.67,5.77,50,30,0.5,90,126.9641
200,0.5,3.5,2.5,2.67,5.77,90,50,0.0,270,172.2476423
250,0.25,3.5,1.57,1.72,4.23,70,50,0.0,180,120.506668
200,1.0,3.5,1.77,2.67,2.66,70,90,0.0,0,168.1848327
150,0.66,2.5,1.57,2.67,2.66,10,10,0.5,270,86.1250532
200,0.66,3.5,2.65,2.74,5.77,90,90,0.5,270,212.183266
250,0.25,2.5,0.34,0.29,2.66,10,10,0.5,180,67.36682525
250,0.66,4.0,1.77,1.72,4.23,70,90,0.0,90,253.3808294
150,0.5,3.0,0.34,1.72,1.76,30,10,0.0,0,78.67787253
250,0.5,2.5,1.57,2.67,1.76,10,10,1.0,0,77.83007391
200,0.33,4.0,2.5,2.74,4.23,90,90,0.0,180,154.3396367
200,0.33,3.0,0.29,0.29,2.66,10,70,2.0,90,85.63169775
250,0.33,2.5,1.57,2.67,1.76,10,10,0.0,180,78.42781585
200,1.0,4.0,1.77,1.72,2.66,30,70,0.0,0,150.8884373
